system:index,date,day,location,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,month,total_precipitation,year,.geo
1_20190516,2019-05-16T00:00:00,16.0,Point1,307.30911480436504,299.42007136506805,292.639494855265,5.0,3.936378647699814E-6,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190517,2019-05-17T00:00:00,17.0,Point1,307.97305321852974,300.0732695103554,292.5822782022196,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190518,2019-05-18T00:00:00,18.0,Point1,306.7963249993298,299.9603429699928,293.91470080054177,5.0,2.556420923819628E-5,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190519,2019-05-19T00:00:00,19.0,Point1,307.3417801992329,300.65404266719696,294.1195296298301,5.0,8.128573058445939E-7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190520,2019-05-20T00:00:00,20.0,Point1,308.4899775330039,300.71771060596444,293.88444343504653,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190521,2019-05-21T00:00:00,21.0,Point1,310.89256178465655,302.26080678709036,294.34457556526235,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190522,2019-05-22T00:00:00,22.0,Point1,310.6802146903794,302.3103335024026,295.0823270383947,5.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190523,2019-05-23T00:00:00,23.0,Point1,310.7644362202504,301.85523491805816,294.441503937258,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190524,2019-05-24T00:00:00,24.0,Point1,311.18030749834327,301.782498810126,294.1396232732815,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190525,2019-05-25T00:00:00,25.0,Point1,309.8663024171867,301.4677540857985,294.22139463414896,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190526,2019-05-26T00:00:00,26.0,Point1,307.2854891794695,300.38526284789594,293.9585301220945,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190527,2019-05-27T00:00:00,27.0,Point1,308.87754490900664,301.208917910455,294.4820877514228,5.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
